Driver_ID,Age,Gender,Education_Level,Income,Joining Designation,Grade,Total Business Value,LastWorkingDate,Quarterly Rating,Dateofjoining,City,MMM-YY,Quarterly Rating Increased,Income Increased,LastWorkingDate2,Churn
71,43.0,0.0,2.0,54103.0,3.0,3.0,188780.0,2019-02-15,1.0,2018-05-25,C20,2019-02-01,0,0,2019-02-15,1
72,28.0,0.0,2.0,42242.0,2.0,2.0,193580.0,,1.0,2020-10-18,C14,2020-12-01,0,0,2020-12-29,0
74,35.0,1.0,2.0,59216.0,2.0,2.0,592270.0,2020-10-24,1.0,2020-01-05,C5,2020-10-01,0,0,2020-10-24,1
75,25.0,1.0,2.0,39884.0,2.0,2.0,2365930.0,2020-12-13,2.0,2020-07-21,C18,2020-12-01,0,0,2020-12-13,1
77,34.0,0.0,2.0,63918.0,1.0,2.0,17959920.0,,3.0,2018-05-18,C3,2020-12-01,1,0,2020-12-29,0
78,37.0,0.0,0.0,105946.0,2.0,4.0,43531510.0,,2.0,2018-09-16,C21,2020-12-01,0,0,2020-12-29,0
79,32.0,0.0,1.0,114648.0,4.0,4.0,0.0,2019-09-08,1.0,2019-09-07,C14,2019-08-01,0,0,2019-09-08,1
80,29.0,1.0,0.0,56687.0,2.0,2.0,153300.0,,1.0,2020-02-10,C7,2020-12-01,0,0,2020-12-29,0
81,39.0,0.0,2.0,77177.0,1.0,2.0,3133680.0,2019-04-10,1.0,2018-12-06,C9,2019-10-01,0,0,2019-04-10,1
82,37.0,1.0,1.0,89013.0,3.0,3.0,0.0,2020-07-29,1.0,2020-11-04,C24,2020-08-01,0,0,2020-07-29,1
83,34.0,0.0,2.0,115159.0,3.0,3.0,750000.0,2020-07-06,1.0,2019-08-29,C23,2020-06-01,0,0,2020-07-06,1
84,42.0,0.0,0.0,25950.0,1.0,1.0,8688020.0,2020-04-09,2.0,2019-04-07,C16,2020-09-01,1,0,2020-04-09,1
85,25.0,0.0,2.0,49509.0,1.0,1.0,0.0,,1.0,2020-09-28,C22,2020-12-01,0,0,2020-12-29,0
86,35.0,0.0,2.0,49510.0,1.0,1.0,0.0,2019-01-27,1.0,2018-05-28,C2,2019-01-01,0,0,2019-01-27,1
87,37.0,0.0,1.0,119341.0,3.0,3.0,36029220.0,,4.0,2019-08-31,C6,2020-12-01,1,0,2020-12-29,0
88,45.0,1.0,0.0,62298.0,2.0,2.0,3248870.0,2019-03-06,1.0,2018-06-01,C3,2019-06-01,0,0,2019-03-06,1
89,28.0,0.0,1.0,58977.0,2.0,2.0,6131430.0,2020-07-29,1.0,2019-05-30,C2,2020-08-01,0,0,2020-07-29,1
90,33.0,0.0,0.0,29408.0,2.0,2.0,543640.0,2020-10-03,1.0,2019-11-11,C22,2020-03-01,0,0,2020-10-03,1
91,31.0,0.0,0.0,22731.0,2.0,2.0,200000.0,2019-12-15,1.0,2019-03-08,C21,2019-12-01,0,0,2019-12-15,1
93,30.0,0.0,2.0,39527.0,2.0,2.0,1220120.0,2019-03-02,2.0,2018-07-14,C17,2019-02-01,0,0,2019-03-02,1
95,29.0,1.0,2.0,60874.0,3.0,3.0,0.0,2020-09-03,1.0,2020-01-30,C14,2020-03-01,0,0,2020-09-03,1
96,35.0,0.0,2.0,64953.0,3.0,3.0,0.0,2020-11-27,1.0,2020-07-17,C12,2020-11-01,0,0,2020-11-27,1
97,40.0,1.0,2.0,80771.0,3.0,3.0,350000.0,,1.0,2020-03-10,C2,2020-12-01,0,0,2020-12-29,0
98,25.0,0.0,0.0,63774.0,2.0,3.0,21415440.0,2020-12-25,2.0,2019-08-15,C16,2020-12-01,0,1,2020-12-25,1
99,30.0,0.0,0.0,38068.0,2.0,2.0,0.0,2020-07-29,1.0,2020-03-24,C23,2020-08-01,0,0,2020-07-29,1
101,33.0,0.0,0.0,38945.0,1.0,1.0,1759840.0,2019-03-05,1.0,2017-03-12,C10,2019-05-01,0,0,2019-03-05,1
102,22.0,1.0,0.0,42270.0,1.0,1.0,0.0,2019-03-21,1.0,2019-05-01,C12,2019-03-01,0,0,2019-03-21,1
103,26.0,1.0,1.0,68913.0,2.0,2.0,544380.0,2020-04-07,1.0,2019-11-30,C28,2020-07-01,0,0,2020-04-07,1
104,30.0,1.0,1.0,60332.0,2.0,2.0,1252320.0,,2.0,2020-08-16,C23,2020-12-01,1,0,2020-12-29,0
105,38.0,0.0,0.0,67931.0,1.0,1.0,0.0,2019-06-01,1.0,2018-09-18,C4,2019-01-01,0,0,2019-06-01,1
106,34.0,1.0,0.0,57671.0,1.0,3.0,4504880.0,2019-02-08,2.0,2016-05-27,C22,2019-08-01,0,0,2019-02-08,1
107,35.0,0.0,2.0,102142.0,3.0,3.0,4545450.0,2020-11-27,1.0,2019-12-12,C9,2020-11-01,0,0,2020-11-27,1
108,38.0,0.0,2.0,121259.0,3.0,3.0,864350.0,2020-02-06,1.0,2020-09-01,C22,2020-06-01,0,0,2020-02-06,1
109,36.0,1.0,0.0,33927.0,1.0,1.0,1927920.0,,2.0,2020-04-14,C6,2020-12-01,1,0,2020-12-29,0
110,32.0,1.0,1.0,32663.0,1.0,1.0,251810.0,2020-02-17,1.0,2019-09-19,C16,2020-02-01,0,0,2020-02-17,1
111,52.0,0.0,1.0,73769.0,2.0,3.0,2167840.0,2019-09-17,1.0,2016-12-13,C13,2019-09-01,0,0,2019-09-17,1
112,46.0,0.0,1.0,50466.0,1.0,1.0,13121470.0,,3.0,2018-06-30,C29,2020-12-01,0,0,2020-12-29,0
113,42.0,1.0,0.0,47160.0,1.0,1.0,670440.0,2019-10-17,1.0,2019-06-23,C10,2019-10-01,0,0,2019-10-17,1
114,32.0,1.0,0.0,89456.0,3.0,3.0,0.0,,1.0,2020-09-28,C19,2020-12-01,0,0,2020-12-29,0
115,46.0,0.0,1.0,31752.0,1.0,3.0,12674940.0,,2.0,2015-07-23,C1,2020-12-01,0,0,2020-12-29,0
116,22.0,0.0,0.0,16477.0,1.0,1.0,1116990.0,2019-09-23,1.0,2018-04-12,C11,2019-09-01,0,0,2019-09-23,1
117,47.0,1.0,1.0,144978.0,1.0,5.0,40152720.0,,2.0,2016-01-28,C1,2020-12-01,0,0,2020-12-29,0
118,42.0,1.0,0.0,67904.0,3.0,3.0,150700.0,2020-09-15,1.0,2020-10-03,C27,2020-09-01,0,0,2020-09-15,1
119,32.0,0.6,1.0,71000.0,3.0,3.0,557720.0,2020-03-24,1.0,2019-11-16,C29,2020-03-01,0,0,2020-03-24,1
120,27.0,0.0,2.0,114258.0,3.0,3.0,0.0,2020-03-29,1.0,2019-09-28,C14,2020-04-01,0,0,2020-03-29,1
121,33.0,1.0,2.0,58885.0,3.0,3.0,0.0,2020-05-24,1.0,2020-07-03,C13,2020-05-01,0,0,2020-05-24,1
122,27.0,0.0,0.0,57406.0,2.0,2.0,605760.0,,2.0,2020-07-08,C26,2020-12-01,1,0,2020-12-29,0
123,44.0,0.0,1.0,41401.0,1.0,1.0,2184160.0,2019-09-23,1.0,2018-07-10,C24,2019-09-01,0,0,2019-09-23,1
125,33.0,1.0,2.0,30847.0,1.0,1.0,1221780.0,2019-07-21,1.0,2018-07-29,C10,2019-07-01,0,0,2019-07-21,1
127,33.0,0.0,1.0,84085.0,3.0,3.0,-70000.0,2019-01-03,1.0,2018-04-05,C28,2019-03-01,0,0,2019-01-03,1
129,38.0,1.0,1.0,60708.0,2.0,2.0,436190.0,,1.0,2020-11-07,C6,2020-12-01,0,0,2020-12-29,0
130,38.0,0.0,1.0,39990.0,2.0,2.0,2928710.0,2020-07-29,1.0,2020-01-17,C28,2020-08-01,0,0,2020-07-29,1
131,38.0,1.0,1.0,79086.0,2.0,3.0,2620360.0,2019-11-11,1.0,2013-10-21,C19,2019-11-01,0,0,2019-11-11,1
132,27.0,0.0,2.0,43165.0,2.0,2.0,0.0,2020-07-20,1.0,2020-01-05,C20,2020-07-01,0,0,2020-07-20,1
133,44.0,1.0,2.0,46858.0,1.0,1.0,873110.0,2019-05-23,1.0,2018-07-30,C23,2019-05-01,0,0,2019-05-23,1
134,32.0,0.0,0.0,76904.0,3.0,3.0,190550.0,,1.0,2020-12-10,C27,2020-12-01,0,0,2020-12-29,0
135,28.0,0.0,0.0,98877.0,3.0,3.0,1517680.0,,2.0,2020-09-15,C22,2020-12-01,1,0,2020-12-29,0
136,37.0,1.0,0.0,47009.0,1.0,1.0,0.0,2019-05-01,1.0,2018-02-10,C10,2019-01-01,0,0,2019-05-01,1
137,42.0,0.0,0.0,33459.0,2.0,2.0,6570070.0,,4.0,2020-05-06,C28,2020-12-01,1,0,2020-12-29,0
138,48.0,0.0,2.0,34827.0,1.0,1.0,0.0,2019-06-01,1.0,2018-01-26,C21,2019-01-01,0,0,2019-06-01,1
139,32.0,0.0,1.0,51850.0,2.0,2.0,0.0,2019-05-12,1.0,2019-10-31,C14,2019-12-01,0,0,2019-05-12,1
140,38.0,0.0,1.0,72253.0,1.0,2.0,13939940.0,,3.0,2016-04-29,C9,2020-12-01,0,0,2020-12-29,0
141,35.0,0.0,1.0,65901.0,2.0,2.0,0.0,2020-10-31,1.0,2020-10-07,C22,2020-11-01,0,0,2020-10-31,1
142,24.0,0.0,1.0,29807.0,1.0,1.0,122040.0,2019-08-02,1.0,2018-10-06,C16,2019-02-01,0,0,2019-08-02,1
143,40.0,0.0,2.0,24150.0,1.0,1.0,340560.0,2019-02-27,1.0,2018-01-05,C12,2019-03-01,0,0,2019-02-27,1
144,27.0,0.0,2.0,21933.0,1.0,1.0,0.0,2019-11-24,1.0,2019-08-19,C28,2019-11-01,0,0,2019-11-24,1
145,35.0,0.0,1.0,75112.0,3.0,3.0,1847280.0,2020-06-22,3.0,2020-02-13,C13,2020-06-01,1,0,2020-06-22,1
147,36.0,0.0,1.0,85172.0,2.0,2.0,0.0,2019-01-10,1.0,2019-07-20,C9,2019-10-01,0,0,2019-01-10,1
148,41.0,0.0,0.0,45288.0,2.0,2.0,0.0,,1.0,2020-11-12,C15,2020-12-01,0,0,2020-12-29,0
149,34.0,1.0,0.0,61913.0,3.0,3.0,0.0,2020-07-22,1.0,2020-04-17,C20,2020-07-01,0,0,2020-07-22,1
150,39.0,0.0,0.0,29013.0,1.0,3.0,24273480.0,,3.0,2016-04-22,C17,2020-12-01,1,0,2020-12-29,0
151,30.0,0.0,0.0,89602.0,4.0,4.0,950170.0,2020-01-21,1.0,2019-09-15,C15,2020-01-01,0,0,2020-01-21,1
152,31.0,0.0,0.0,31547.0,1.0,2.0,1419720.0,2019-06-15,2.0,2018-03-06,C17,2019-06-01,1,0,2019-06-15,1
153,38.0,1.0,1.0,148588.0,5.0,5.0,1472800.0,2019-11-19,1.0,2018-10-14,C22,2019-11-01,0,0,2019-11-19,1
154,30.0,0.0,1.0,47211.0,1.0,1.0,0.0,2020-10-18,1.0,2020-03-07,C21,2020-10-01,0,0,2020-10-18,1
155,27.0,0.0,1.0,118363.0,2.0,3.0,1602380.0,2019-02-26,2.0,2017-10-09,C26,2019-02-01,0,0,2019-02-26,1
156,41.0,1.0,1.0,41046.0,1.0,1.0,0.0,2019-02-28,1.0,2018-01-07,C9,2019-03-01,0,0,2019-02-28,1
158,26.0,0.0,1.0,45832.0,1.0,1.0,0.0,2020-09-23,1.0,2020-03-07,C22,2020-09-01,0,0,2020-09-23,1
159,44.0,1.0,1.0,30121.0,1.0,1.0,6278140.0,2020-02-17,1.0,2017-07-21,C4,2020-02-01,0,0,2020-02-17,1
161,38.0,0.0,2.0,35793.0,1.0,1.0,0.0,2019-03-29,1.0,2018-06-19,C25,2019-04-01,0,0,2019-03-29,1
162,36.0,0.0,1.0,100064.0,3.0,3.0,0.0,2019-12-30,1.0,2019-10-31,C2,2020-01-01,0,0,2019-12-30,1
163,29.0,0.0,0.0,25731.0,1.0,1.0,0.0,2020-09-27,1.0,2020-08-05,C6,2020-09-01,0,0,2020-09-27,1
164,37.0,1.0,0.0,106171.0,1.0,4.0,10395250.0,2020-11-27,1.0,2019-06-17,C26,2020-11-01,0,0,2020-11-27,1
165,25.0,1.0,2.0,76307.0,2.0,2.0,0.0,2019-01-15,1.0,2018-10-16,C21,2019-01-01,0,0,2019-01-15,1
167,26.0,0.0,1.0,35283.0,1.0,1.0,1154620.0,2019-06-05,1.0,2018-02-03,C18,2019-05-01,0,0,2019-06-05,1
168,26.0,0.0,2.0,33057.0,2.0,2.0,12087570.0,,3.0,2019-07-10,C15,2020-12-01,0,0,2020-12-29,0
169,34.0,0.0,2.0,38409.0,2.0,2.0,5239360.0,2019-11-29,1.0,2018-01-05,C14,2019-12-01,0,0,2019-11-29,1
170,35.0,0.0,2.0,91458.0,3.0,3.0,1987680.0,2019-11-23,1.0,2019-04-07,C7,2019-11-01,0,0,2019-11-23,1
171,44.0,1.0,1.0,56242.0,2.0,2.0,3466180.0,2019-07-21,1.0,2018-08-24,C23,2019-07-01,0,0,2019-07-21,1
172,41.0,1.0,2.0,101395.0,2.0,3.0,5365850.0,2019-06-29,1.0,2017-07-11,C6,2019-07-01,0,0,2019-06-29,1
173,39.0,0.0,0.0,56174.0,1.0,3.0,19866290.0,,3.0,2014-06-13,C28,2020-12-01,1,0,2020-12-29,0
174,39.0,1.0,1.0,22065.0,1.0,1.0,2970500.0,2019-04-05,1.0,2018-07-27,C21,2019-05-01,0,0,2019-04-05,1
175,31.0,0.0,0.0,27889.0,1.0,1.0,19580.0,2019-04-05,1.0,2018-09-22,C13,2019-05-01,0,0,2019-04-05,1
176,34.0,0.0,0.0,21276.0,1.0,1.0,0.0,2020-07-29,1.0,2020-04-05,C15,2020-08-01,0,0,2020-07-29,1
177,31.0,0.0,1.0,43053.0,1.0,1.0,600000.0,2019-10-06,1.0,2018-12-14,C4,2019-06-01,0,0,2019-10-06,1
178,23.0,1.0,0.0,36637.0,2.0,2.0,550000.0,2019-09-26,1.0,2018-11-09,C7,2019-09-01,0,0,2019-09-26,1
179,26.0,1.0,2.0,24490.0,1.0,1.0,1616780.0,2019-04-05,1.0,2018-05-26,C11,2019-05-01,0,0,2019-04-05,1
180,34.0,0.0,1.0,95694.0,2.0,4.0,0.0,2019-11-15,1.0,2018-06-26,C29,2019-11-01,0,0,2019-11-15,1
181,30.0,1.0,2.0,26926.0,3.0,3.0,0.0,,1.0,2020-06-11,C17,2020-12-01,0,0,2020-12-29,0
182,32.0,0.0,2.0,25832.0,1.0,1.0,866320.0,2020-04-07,1.0,2020-01-13,C22,2020-07-01,0,0,2020-04-07,1
183,28.4,1.0,2.0,43263.0,1.0,1.0,903800.0,2020-05-25,1.0,2019-03-11,C23,2020-05-01,0,0,2020-05-25,1
184,34.0,1.0,2.0,62199.0,2.0,2.0,903160.0,2020-05-07,1.0,2020-12-04,C21,2020-07-01,0,0,2020-05-07,1
185,29.0,0.0,0.0,82120.0,1.0,3.0,2416570.0,2019-08-18,1.0,2016-11-30,C1,2019-08-01,0,0,2019-08-18,1
187,34.0,0.0,1.0,20922.0,2.0,2.0,151600.0,2020-03-15,1.0,2019-02-11,C26,2020-03-01,0,0,2020-03-15,1
188,34.0,0.0,0.0,36483.0,2.0,2.0,2516690.0,,1.0,2019-11-15,C12,2020-12-01,0,0,2020-12-29,0
190,36.0,1.0,0.0,108051.0,4.0,4.0,121980.0,2019-02-11,1.0,2018-07-11,C1,2019-11-01,0,0,2019-02-11,1
191,27.0,1.0,2.0,63380.0,3.0,3.0,10666090.0,,3.0,2019-12-19,C11,2020-12-01,1,0,2020-12-29,0
192,37.0,1.0,1.0,66952.0,3.0,3.0,2412240.0,,1.0,2020-10-04,C9,2020-12-01,0,0,2020-12-29,0
193,47.0,0.0,2.0,59084.0,1.0,2.0,9983020.0,2020-02-22,1.0,2018-07-05,C26,2020-02-01,0,0,2020-02-22,1
194,30.0,0.0,0.0,54074.0,2.0,2.0,2000000.0,2020-12-10,1.0,2020-06-28,C8,2020-10-01,0,0,2020-12-10,1
195,27.0,0.0,0.0,19419.0,1.0,1.0,0.0,2020-11-28,1.0,2020-09-28,C18,2020-12-01,0,0,2020-11-28,1
196,44.0,0.0,1.0,75001.0,3.0,3.0,1150720.0,2020-12-26,2.0,2020-05-29,C14,2020-12-01,1,0,2020-12-26,1
197,41.0,0.0,1.0,94594.0,2.0,3.0,1985150.0,2019-09-23,1.0,2013-10-16,C25,2019-09-01,0,0,2019-09-23,1
199,30.0,0.0,0.0,87902.0,1.0,3.0,31533700.0,,4.0,2016-12-16,C14,2020-12-01,1,0,2020-12-29,0
200,46.0,0.0,1.0,66707.0,3.0,3.0,0.0,2020-06-27,1.0,2019-11-28,C8,2020-06-01,0,0,2020-06-27,1
201,38.0,1.0,0.0,42260.0,3.0,3.0,0.0,2019-07-09,1.0,2019-05-30,C5,2019-09-01,0,0,2019-07-09,1
202,33.0,0.0,0.0,28921.0,1.0,1.0,593300.0,,2.0,2020-10-30,C28,2020-12-01,0,0,2020-12-29,0
203,34.0,1.0,2.0,84713.0,3.0,3.0,2816440.0,2020-11-13,1.0,2019-04-07,C4,2020-11-01,0,0,2020-11-13,1
204,31.0,1.0,0.0,68151.0,1.0,2.0,337230.0,2019-03-29,1.0,2017-05-12,C14,2019-04-01,0,0,2019-03-29,1
205,39.0,0.0,0.0,15826.0,1.0,1.0,0.0,,1.0,2020-12-20,C12,2020-12-01,0,0,2020-12-29,0
206,26.0,1.0,0.0,12968.0,1.0,1.0,0.0,,1.0,2020-09-28,C10,2020-12-01,0,0,2020-12-29,0
207,32.0,0.0,0.0,61894.0,3.0,3.0,3209720.0,2019-04-16,1.0,2018-09-05,C29,2019-04-01,0,0,2019-04-16,1
208,31.0,0.0,2.0,31657.0,1.0,1.0,376780.0,2019-05-24,1.0,2019-06-01,C16,2019-05-01,0,0,2019-05-24,1
210,38.0,0.0,2.0,64583.0,3.0,3.0,802540.0,,1.0,2020-03-05,C29,2020-12-01,0,0,2020-12-29,0
211,34.0,1.0,2.0,81730.0,3.0,3.0,0.0,2020-07-29,1.0,2020-05-06,C6,2020-08-01,0,0,2020-07-29,1
213,37.0,0.0,0.0,59947.0,2.0,2.0,12182590.0,,1.0,2018-05-09,C24,2020-12-01,0,0,2020-12-29,0
215,25.6,1.0,1.0,17307.0,1.0,1.0,1742410.0,2020-05-17,1.0,2019-07-19,C15,2020-05-01,0,0,2020-05-17,1
216,30.0,0.0,1.0,86340.0,2.0,2.0,7020890.0,2020-07-25,1.0,2019-04-07,C20,2020-07-01,0,0,2020-07-25,1
217,32.0,0.0,1.0,27328.0,1.0,2.0,5854230.0,2019-06-24,1.0,2016-05-20,C10,2019-06-01,0,0,2019-06-24,1
218,25.0,0.0,0.0,27979.0,1.0,1.0,734620.0,,2.0,2020-07-31,C21,2020-12-01,1,0,2020-12-29,0
219,36.0,0.0,0.0,51657.0,2.0,2.0,2805350.0,2019-11-11,1.0,2018-11-05,C5,2019-11-01,0,0,2019-11-11,1
220,38.0,1.0,1.0,107539.0,2.0,3.0,2784450.0,2019-10-14,1.0,2013-11-20,C18,2019-10-01,0,0,2019-10-14,1
221,31.0,0.0,0.0,13051.0,1.0,1.0,0.0,2019-01-19,1.0,2018-12-29,C3,2019-01-01,0,0,2019-01-19,1
222,26.0,0.0,0.0,92753.0,3.0,3.0,0.0,2019-08-10,1.0,2019-12-09,C2,2019-10-01,0,0,2019-08-10,1
223,25.0,0.0,0.0,59108.0,2.0,2.0,1559910.0,2019-04-13,1.0,2018-08-24,C20,2019-04-01,0,0,2019-04-13,1
